"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
32701;;https://avatars.mds.yandex.net/get-ott/1648503/2a0000018c3e93954d9f70a66fb763e3766c/orig;7.9
;1115038;7.7;6.633
;1331929;5.7;7.458
;338;8.7;8.141
;977734;7.6;7.364
;891437;6.1;6.305
;945407;7.2;0
;3961;7.2;7.476
;1108577;8.2;8.445
;1132285;8.1;7.632
;757563;7.2;7.054
;1007503;8.1;7.65
;909854;8.3;8.363
;811551;7.1;6.738
;800962;7.4;7.238
;1290226;6.9;6.75
;4413103;6.7;7.113
;378244;8.2;8.488
;574497;8.6;8.31
;86234;7.6;7.61
;1091;7.3;8.02
;421899;7.3;6.16
;678549;7.4;7.096
;278217;6.9;6.929
;407640;7.7;7.723
;674032;7.1;7.396
;888220;5.4;0
;4370954;6.2;0
;1044759;7.5;7.452
;373391;6;7.138
;843649;8.4;8.073
;1299841;7;7.02
;958543;8;7.456
;1174261;7.3;7.299
;814016;6.9;6.98
;948263;6;6.887
;665226;6.1;5.824
;582345;7.7;7.59
;1112147;7.3;7.126
;4909479;7.9;7.444
;893361;8.3;8.195
;1301516;7.1;7.187
;821384;7.3;6.643
;308343;7.8;7.179
;952241;6.7;6.746
;1282747;6.8;6.425
;574704;6.5;6.899
;1118743;6.6;6.552
;1037521;7.3;7.073
;975176;6.1;5.881
;1117576;7.9;7.318
;737589;8.3;7.773
;676214;7.4;7.274
;1366045;0;5.59
;4315807;0;4.536
;1151092;6.9;7.33
;41442;7.4;7.884
;4463309;5.8;0
;818937;7.3;6.801
;418845;7.9;7.789
;992645;7.5;7.582
;232084;7;7.06
;4693337;5.7;0
;885689;0;0
;1112955;7.6;7.491
;1221814;6;6.246
;842673;6.3;6.164
;1006633;8.3;7.759
;4837641;7.1;7.276
;414964;7.6;7.821
;762172;6;6.703
;47015;8;7.596
;1048602;8.1;7.96
;1007943;7.1;6.828
;2928;6.6;7.642
;1373294;7.6;0
;89515;7.6;7.821
;2717;8.2;7.686
;893440;0;5.852
;1112192;7;6.794
;693721;7.3;0
;1046051;7.9;7.374
;771402;7.7;7.681
;4296824;7.5;7.245
;1118067;0;4.706
;1011528;8;7.998
;839427;8.9;7.704
;3345;5.8;0
;5619;7.6;8.112
;77044;8.9;9.233
;587175;8.3;7.231
;920265;8.4;8.177
;1112036;6.4;6.301
;677719;7.9;7.74
;4317399;0;0
;1140676;8;7.917
;397152;6.8;7.287
;61361;6.6;7.293
;991739;8.7;8.272
;41656;5.9;6.886
;1344919;8.1;6.847
;942396;6.8;7.009
;4544207;5.6;6.873
;470344;8.4;7.973
;988801;7.4;7.166
;4471910;7.1;0
;1406397;5.3;5.894
;818782;8.1;7.809
;582359;8.5;7.998
;1346578;7.6;7.599
;893775;6.7;7.082
;796660;9;8.344
;506140;7.8;7.182
;667679;6.2;6.135
;1039734;6;6.219
;4433312;0;0
;38904;6.2;6.852
;766485;6.5;6.415
;1200706;7.8;7.29
;1142523;7.1;6.633
;611806;7.6;7.386
;1108737;7.5;7.463
;1199703;0;0
;6527;7.3;7.273
;1178063;6.6;6.642
;1177920;7.1;7.112
;4467701;7;0
;839370;7.7;7.307
;656559;8.4;7.684
;1272097;8.3;8.619
;1155418;6.8;6.501
;472386;6.5;6.679
;591842;6;0
;428930;8;8.134
;61237;7.9;7.963
;582476;7.8;7.998
;464963;9.2;8.979
;1108755;8;7.535
;1163478;6.3;6.619
;843006;7.3;7.13
;842545;0;7.825
;821526;7.3;7.815
;1273277;5.7;6.043
;936166;7.5;6.819
;1263675;7.5;6.785
;151513;6.5;7.304
;4368464;8.1;7.352
;4368464;8.1;7.352
;276762;7.7;7.895
;811609;5.2;5.731
;1199692;5.9;0
;975848;8.2;7.733
;667871;8.3;7.819
;1123486;7.1;6.785
;462261;7;6.757
;1347334;6.5;6.862
;4374935;5.6;6.218
;824461;7.7;7.008
;455773;6.8;7.236
;1271262;7.5;7.424
;1202993;0;8.645
;1443824;8.3;8.468
;1253333;7.3;7.395
;4298814;6.5;0
;662539;7.3;7.63
;785315;0;5.65
;427076;6.6;7.319
;893668;5.9;6.818
;1145353;6.8;6.545
;463689;6.9;6.169
;1355169;6.4;6.594
;102124;7.1;8.061
;1021791;7.7;6.828
;863009;8.3;8.233
;935920;7.5;6.808
;1177926;6.8;7.179
;400027;7.5;7.817
;737843;7.3;6.9
;804876;8.1;8.072
;589167;8;7.924
;6583;7.7;7.38
;981330;7.2;6.856
;1113315;7.9;7.901
;740776;6.8;6.716
;822708;7.8;7.409
;745939;8.4;7.797
;404900;9.5;8.892
;160958;7.6;8.192
;1232130;7.5;7.473
;1186085;7.2;7.738
;427122;7.6;7.43
;574688;8.3;8.115
;181535;6.5;7.5
;3475;7.6;7.113
;947758;8.4;8.14
;566058;7.5;7.621
;992120;6.4;6.418
;77147;3.5;3.813
;4064;6.8;7.439
;4626676;6.7;7.343
;655800;8.7;8.491
;842766;7.4;7.074
;355828;8.1;8.147
;4292322;7.8;7.448
;4420536;0;8.115
;4365754;0;0
;888610;7.1;6.762
;733888;7.3;6.778
;394375;8.3;8.058
;979309;7.4;6.973
;1025082;6.2;5.785
;1321103;7.4;7.389
;104122;8.3;8.143
;1112969;7;7.337
;1122150;7.5;7.044
;1017989;6.9;6.688
;596479;8.4;7.882
;409640;8.1;8.053
;1045197;7.6;7.249
;1311329;7.5;6.654
;737705;7.9;7.492
;838492;7.5;7.362
;905071;8;7.418
;717293;7.8;7.676
;891578;7.8;7.368
;1035657;7.6;6.526
;455165;7.7;7.656
;571914;7.7;7.688
;824221;0;7.764
;568834;7;7.108
;4891365;6.3;6.404
;891594;6.8;6.583
;682255;8.5;8.163
;81289;6.5;7.095
;263531;8;7.893
;581937;8.7;8.31
;701756;7.5;7.232
;664424;8.6;8.553
;466990;7;7.691
;400061;0;6.439
;399920;7.5;7.271
;1046229;8.1;7.69
;991571;7;7.187
;277545;6.7;6.902
;591843;7.6;7.247
;462358;7.7;7.659
;1008707;7.2;7.179
;1303198;5.7;0
;891610;7.8;7.391
;981281;7.6;6.878
;521722;7.9;7.861
;897046;6.9;6.659
;981323;6;0
;1192866;6.4;6.95
;855925;7.9;7.366
;585595;7.7;7.867
;1212764;7.8;7.48
;842037;6.5;6.873
;277535;7.6;8.228
;1115221;8.1;8.198
;840152;7.8;7.25
;322;7.9;8.225
;716587;8.8;8.365
;843859;6.8;6.508
;391889;8.7;7.87
;971141;7.4;5.826
;1007426;8.4;7.933
;575613;6.8;6.817
;771194;7.2;7.048
;837767;7.3;6.581
;255671;8.6;7.883
;771538;0;6.319
;1450707;6.6;0
;1006726;8;7.488
;1195688;0;7.281
;807630;7.1;6.862
;466504;7.6;7.783
;855898;8.4;7.898
;1179401;6.3;0
;1199705;0;0
;1309160;5.4;0
;926540;7.7;7.322
;896631;6.2;6.303
;518075;8.3;8.167
;438273;8.5;7.953
;859100;6.4;0
;251568;8.4;8.731
;575180;6.5;6.684
;461353;7.9;7.475
;971145;0;7.328
;5261209;7.2;7.573
;840759;6.2;5.762
;891559;7;6.455
;737589;8.3;7.773
;1048154;7.6;7.442
;933207;6.4;5.981
;1044468;7;7.414
;829727;7;7.146
;1177920;7.1;7.112
;77044;8.9;9.234
;258048;8.3;8.374
;589167;8;7.924
;1392762;7.6;0
;1011528;8;7.999
;279077;7.5;7.551
;1332490;7.1;7.406
;1199014;6.6;6.542
;461353;7.9;7.475
;277623;8.6;6.992
;674032;7.1;7.397
;1037521;7.3;7.058
;1184877;7.5;7.289
;707006;7.4;6.42
;839289;8.6;8.17
;521722;7.9;7.861
;1260293;7.4;0
;841263;7.6;7.771
;277535;7.6;8.227
;195523;8.5;7.869
;1278330;7.1;6.687
;842336;8.5;7.936
;855898;8.4;7.898
;1046489;8.3;0
;1232285;7.3;7.496
;1263845;8.1;7.939
;1208758;7.5;7.346
;701756;7.5;7.231
;737589;8.3;7.773
;979309;7.4;6.991
;664424;8.6;8.554
;409640;8.1;8.053
;1331854;7.1;0
;804876;8.1;8.072
;585595;7.7;7.867
;81288;7;7.593
;981330;7.2;6.855
;573239;5.8;5.904
;681831;8.9;8.648
;1355158;7.2;6.786
;1236248;0;6.652
;95187;6.8;7.262
;844056;7.1;5.8
;893775;6.7;7.081
;818823;7.3;6.22
;409640;8.1;8.053
;975848;8.2;7.733
;812788;6.9;0
;355828;8.1;8.146
;900740;6.6;6.578
;701756;7.5;7.231
;713333;7.7;7.787
;935920;7.5;6.808
;277535;7.6;8.227
;717293;7.8;7.677
;574688;8.3;8.115
;667871;8.3;7.819
;464963;9.2;8.979
;818782;8.1;7.808
